gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
5_8S_rRNA	-0.00421940928270042	1.76525596064346e-05	0.00283388310030879
5S_rRNA	NA	NA	NA
7SK	0.897831563832691	3.42286546719643e-06	0.000549495417003591
A1BG	0.990477260659429	3.3460662541651e-07	5.3716632724104e-05
A1BG-AS1	0.999164203700566	2.94960818283871e-08	4.73520269481613e-06
A1CF	0.999989675341531	3.64517905999562e-10	5.85184900435382e-08
A2M	0.999953430867788	1.64411975249335e-09	2.63941506804284e-07
A2M-AS1	0.999917168948017	2.92429111325609e-09	4.69455951488126e-07
A2ML1	0.999290334611406	2.50463767869018e-08	4.02086187401937e-06
A2ML1-AS1	0.999716850322216	9.99539580970552e-09	1.60462753830309e-06
A2ML1-AS2	0.999729316779774	9.55538008485359e-09	1.53398887998221e-06
A2MP1	0.97977410949767	7.06868633633096e-07	0.00011347833513396
A3GALT2	0.766426489811494	7.28340692902188e-06	0.00116925387983414
A4GALT	0.999825558393104	6.15825419992365e-09	9.88625609750547e-07
A4GNT	0.997539415596994	8.67658934191602e-08	1.39291074227062e-05
AA06	0.983622556016702	5.73483040798799e-07	9.20650565055173e-05
AAAS	0.997730548380594	8.00337669142647e-08	1.28483542652768e-05
AACS	0.999463555657164	1.89344886516399e-08	3.03967971779639e-06
AACSP1	0.999667021848258	1.17540853875537e-08	1.88696170311942e-06
AADAC	0.999396905065468	2.12862968783398e-08	3.41723117420855e-06
AADACL2	0.999893498565946	3.75991253974815e-09	6.03603830979132e-07
AADACL2-AS1	0.990378642705681	3.38055078245551e-07	5.42702358509202e-05
AADACL3	0.999739479879849	9.19665953904906e-09	1.47640107882739e-06
AADACL4	0.999654883009978	1.21825108442925e-08	1.95573969841657e-06
AADACP1	0.999876644370211	4.35489413513488e-09	6.99120193804305e-07
AADAT	0.998671514638511	4.68720140097224e-08	7.52467695003114e-06
AAED1	0.997897250363341	7.41610951363597e-08	1.19055751059872e-05
AAGAB	0.998301824423293	5.99044512273075e-08	9.61686099643353e-06
AAK1	0.990631430962408	3.29214941204848e-07	5.28510697060326e-05
AAMDC	0.998750684427865	4.40804680636839e-08	7.07653146537688e-06
AAMP	0.991215778647193	3.08771362816673e-07	4.95691257502695e-05
AANAT	0.999633899816622	1.29230747318914e-08	2.07462735734852e-06
AAR2	0.999675672665925	1.14487621792372e-08	1.83794613260324e-06
AARD	0.999995506311927	1.58652661215949e-10	2.5469569595732e-08
AARS	0.998799448250147	4.23609337523447e-08	6.80048315657926e-06
AARS2	0.998587932902273	4.98188861383716e-08	7.9977579824898e-06
AARSD1	0.997023039857164	1.04947359023779e-07	1.68478993296314e-05
