gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
5_8S_rRNA	-0.00421940928270042	5.26749998201277e-05	0.00489531180691367
5S_rRNA	NA	NA	NA
7SK	0.897831563832691	1.02137843966363e-05	0.000949210432289719
A1BG	0.990477260659429	9.98461658059126e-07	9.27912892290085e-05
A1CF	0.999989675341531	1.08771651596414e-09	1.01086122854425e-07
A2M	0.999953430867788	4.90603117041949e-09	4.55938346381617e-07
A3GALT2	0.766426489811494	2.17335880591673e-05	0.00201979479062069
A4GALT	0.999825558393104	1.83761474882678e-08	1.70777355618577e-06
A4GNT	0.997539415596994	2.58908255921228e-07	2.40614455898737e-05
AAAS	0.997730548380594	2.38819681213615e-07	2.21945288877181e-05
AACS	0.999463555657164	5.65002588041561e-08	5.2508093965285e-06
AADAC	0.999396905065468	6.35180228384004e-08	5.90300006102363e-06
AADACL2	0.999893498565946	1.12195283160374e-08	1.04267849304317e-06
AADACL3	0.999739479879849	2.74427080472003e-08	2.55036759707423e-06
AADACL4	0.999654883009978	3.63524480777223e-08	3.37838763916029e-06
AADAT	0.998671514638511	1.39865457734026e-07	1.29982919594266e-05
AAGAB	0.998301824423293	1.78754074648362e-07	1.66123765571554e-05
AAK1	0.990631430962408	9.82372945078604e-07	9.12960966921212e-05
AAMDC	0.998750684427865	1.31535522275156e-07	1.22241556226087e-05
AAMP	0.991215778647193	9.21369582850764e-07	8.56267947387253e-05
AANAT	0.999633899816622	3.85622807317839e-08	3.58375678808618e-06
AAR2	0.999675672665925	3.41629519558274e-08	3.17490845067802e-06
AARD	0.999995506311927	4.73417401630903e-10	4.39966929988787e-08
AARS	0.998799448250147	1.26404455078109e-07	1.17473037209942e-05
AARS2	0.998587932902273	1.48658884427227e-07	1.38155025082913e-05
AARSD1	0.997023039857164	3.13161504107619e-07	2.91034307311585e-05
AASDH	0.994509256175081	5.76872070274244e-07	5.36111754406342e-05
AASDHPPT	0.999698924575203	3.17140857133193e-08	2.94732489355531e-06
AASS	0.999689189471823	3.27393833317348e-08	3.04261016273745e-06
AATF	0.996663830423289	3.50885436471608e-07	3.26092762391841e-05
AATK	0.998515744098141	1.56253096720172e-07	1.45212649616147e-05
ABAT	0.999734792927192	2.79363575023211e-08	2.59624454086884e-06
ABCA1	0.999768609067722	2.43746482718274e-08	2.26523975096153e-06
ABCA12	0.999977911132704	2.32707789056536e-09	2.16265247502467e-07
ABCA13	0.998913663210407	1.14385453622341e-07	1.06303267882055e-05
ABCA2	0.997418472486039	2.71617717215425e-07	2.52425898925876e-05
ABCA3	0.999743703792496	2.69978259197797e-08	2.50902280849361e-06
ABCA4	0.999503235037467	5.23221212409212e-08	4.86251729944152e-06
ABCA5	0.999689320410204	3.27255930143778e-08	3.04132856988298e-06
ABCA6	0.999542053839292	4.82344398825575e-08	4.48263168226394e-06
ABCA7	0.998655559390166	1.41544126586349e-07	1.31542977967448e-05
ABCA8	0.999599516901093	4.21831969606968e-08	3.92026393621662e-06
ABCA9	0.999834831984537	1.73993231380538e-08	1.61699311401752e-06
ABCB1	0.999192037291643	8.50859994192773e-08	7.90740387247386e-06
ABCB10	0.999265176379439	7.73866032115687e-08	7.19186623051073e-06
ABCB11	0.999929171204801	7.46168213647966e-09	6.93445862114426e-07
ABCB4	0.997414725927583	2.72011404488197e-07	2.52791769255484e-05
ABCB5	0.998805001610675	1.25820098899063e-07	1.16929970154889e-05
ABCB6	0.996998596275399	3.15728983611682e-07	2.93420375232452e-05
ABCB7	0.99567406766638	4.54759322412771e-07	4.22627183277302e-05
ABCB8	0.997098705606087	3.05213404902303e-07	2.83647800616726e-05
ABCB9	0.999218767521767	8.22721571997636e-08	7.64590154524055e-06
ABCC1	0.998887057499019	1.17185332962084e-07	1.08905314856252e-05
ABCC10	0.992516700153687	7.85429831228224e-07	7.29933353477592e-05
ABCC12	0.999719384128438	2.95592603168971e-08	2.74706780307664e-06
ABCC2	0.999784431854661	2.27080605273915e-08	2.11035666239097e-06
ABCC3	0.997869122881915	2.24252718019273e-07	2.08407590318159e-05
ABCC4	0.998915179981372	1.14225832426416e-07	1.06154925114572e-05
ABCC5	0.998998393145645	1.05468315024161e-07	9.80161916575422e-06
ABCC6	0.999271767434569	7.66927311521606e-08	7.12738174837486e-06
ABCC8	0.998341034789433	1.74630123028014e-07	1.62291201902419e-05
ABCC9	0.999094840200203	9.53171241746442e-08	8.85822581806438e-06
ABCD1	0.996306871534186	3.88359551926041e-07	3.60919051991112e-05
ABCD2	0.999882280834869	1.24012048283027e-08	1.15249671804931e-06
ABCD3	0.997819404943491	2.2947930458378e-07	2.13264879545773e-05
ABCD4	0.998476076472319	1.60425869808442e-07	1.49090585152233e-05
ABCE1	0.996244537595139	3.94902091858836e-07	3.66999312663079e-05
ABCF1	0.99177747325177	8.62697195023996e-07	8.01741201521286e-05
ABCF2	0.997002158578412	3.15354814053291e-07	2.93072643545079e-05
ABCF3	0.980731364250019	2.0104293708542e-06	0.000186837753577893
ABCG1	0.999775051909944	2.36960376352689e-08	2.20217357777147e-06
ABCG2	0.999503882272932	5.22539676220113e-08	4.85618349371826e-06
ABCG4	0.999420920609501	6.0989435738425e-08	5.66800770549277e-06
ABCG5	0.999381922903074	6.5095457993805e-08	6.04959782025024e-06
ABCG8	0.999522937379877	5.02474531975874e-08	4.66970957276589e-06
ABHD1	0.991906087829678	8.49257950190849e-07	7.89251539607216e-05
ABHD10	0.998938039621565	1.11820111516242e-07	1.03919186336038e-05
ABHD11	0.998360651446535	1.72566879648694e-07	1.60373742061923e-05
ABHD12	0.988176292700667	1.23828563760886e-06	0.000115079151833276
ABHD12B	0.999912116909296	9.25824157027081e-09	8.60407772661968e-07
ABHD13	0.9997412853334	2.72525495112583e-08	2.53269535541574e-06
ABHD14A	0.999124576687094	9.21871186175567e-08	8.56734108694643e-06
ABHD14A-ACY1	0.832035127305046	1.62093103102863e-05	0.00150640015975001
ABHD14B	0.999795358072324	2.15572048585278e-08	2.00340274947061e-06
ABHD15	0.999954558360189	4.78725319630775e-09	4.44899803979035e-07
ABHD16A	0.995609201137037	4.6156334867634e-07	4.28950454319796e-05
ABHD16B	0.999778673932175	2.33145359471775e-08	2.16671900303111e-06
ABHD17A	0.995772900529602	4.44391622991081e-07	4.12992039174248e-05
ABHD17B	0.999884780850042	1.21378542174006e-08	1.12802242551377e-06
ABHD17C	0.999300101172581	7.3709850214351e-08	6.85016993397829e-06
ABHD18	0.996635583094621	3.53851375350071e-07	3.2884913555936e-05
ABHD2	0.999638425156398	3.80857011608276e-08	3.53946622124038e-06
ABHD3	0.999835310357012	1.73489340126711e-08	1.61231023824594e-06
ABHD4	0.998858394130042	1.20201668560565e-07	1.11708523839504e-05
ABHD5	0.998402098955276	1.68207374720789e-07	1.56322268683899e-05
ABHD6	0.999963617200325	3.83292644547816e-09	3.56210159423887e-07
ABHD8	0.99882048891541	1.24190419447e-07	1.15415439715323e-05
ABI1	0.996862952738097	3.29975424477558e-07	3.06660198756964e-05
ABI2	0.99600430147129	4.20113329682236e-07	3.90429188430566e-05
ABI3	0.999273400207741	7.65208405635761e-08	7.11140722477414e-06
ABI3BP	0.998573461159721	1.50181345738284e-07	1.395699131431e-05
