gene_id	coeff_KF_JAX	stderr_coef	proberr_coef
5_8S_rRNA	NA	NA	NA
5S_rRNA	NA	NA	NA
7SK	NA	NA	NA
A1BG	NA	NA	NA
A1BG-AS1	NA	NA	NA
A1CF	NA	NA	NA
A2M	NA	NA	NA
A2M-AS1	NA	NA	NA
A2ML1	NA	NA	NA
A2ML1-AS1	NA	NA	NA
A2ML1-AS2	NA	NA	NA
A2MP1	NA	NA	NA
A3GALT2	NA	NA	NA
A4GALT	NA	NA	NA
A4GNT	NA	NA	NA
AA06	NA	NA	NA
AAAS	0.997730548380594	8.00337669142647e-08	1.28483542652768e-05
AACS	NA	NA	NA
AACSP1	NA	NA	NA
AADAC	NA	NA	NA
AADACL2	NA	NA	NA
AADACL2-AS1	NA	NA	NA
AADACL3	NA	NA	NA
AADACL4	NA	NA	NA
AADACP1	NA	NA	NA
AADAT	NA	NA	NA
AAED1	NA	NA	NA
AAGAB	0.998301824423293	5.99044512273075e-08	9.61686099643353e-06
AAK1	NA	NA	NA
AAMDC	NA	NA	NA
AAMP	0.991215778647193	3.08771362816673e-07	4.95691257502695e-05
AANAT	NA	NA	NA
AAR2	NA	NA	NA
AARD	NA	NA	NA
AARS	0.998799448250147	4.23609337523447e-08	6.80048315657926e-06
AARS2	NA	NA	NA
AARSD1	0.997023039857164	1.04947359023779e-07	1.68478993296314e-05
AARSP1	NA	NA	NA
AASDH	NA	NA	NA
AASDHPPT	0.999698924575203	1.06280928396705e-08	1.70619861132639e-06
AASS	NA	NA	NA
AATBC	NA	NA	NA
AATF	0.996663830423289	1.17589484641594e-07	1.88774240523377e-05
AATK	NA	NA	NA
AATK-AS1	NA	NA	NA
AB015752.1	NA	NA	NA
ABALON	NA	NA	NA
ABAT	NA	NA	NA
ABBA01000935.2	NA	NA	NA
ABBA01006766.1	NA	NA	NA
ABBA01006766.2	NA	NA	NA
ABBA01031660.1	NA	NA	NA
ABBA01031661.1	NA	NA	NA
ABBA01031663.1	NA	NA	NA
ABBA01031674.1	NA	NA	NA
ABBA01040607.1	NA	NA	NA
ABCA1	NA	NA	NA
ABCA10	NA	NA	NA
ABCA11P	NA	NA	NA
ABCA12	NA	NA	NA
ABCA13	NA	NA	NA
ABCA17P	NA	NA	NA
ABCA2	NA	NA	NA
ABCA3	NA	NA	NA
ABCA4	NA	NA	NA
ABCA5	NA	NA	NA
